colYear,colMonth,DayOfMonths,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1990,9,2,7,1521,1525,1627,1639,US,762,,66,74,0,-12,-4,IAD,CLT,321,0,0,0,,0,0,0,0,0,0
1992,10,12,1,1319,1320,1429,1434,DL,1422,,70,74,0,-5,-1,SDF,ATL,321,0,0,0,,0,0,0,0,0,0
1995,12,21,4,1700,1630,1805,1735,WN,1379,N104,65,65,52,30,30,BHM,MSY,321,2,11,0,,0,0,0,0,0,0
1996,10,3,4,1747,1630,1848,1735,WN,1379,N103,61,65,53,73,77,BHM,MSY,321,3,5,0,,0,0,0,0,0,0
1998,12,6,7,1241,1230,1352,1335,WN,808,N702,71,65,60,17,11,BHM,MSY,321,3,8,0,,0,0,0,0,0,0
2003,1,7,2,1345,1345,1525,1510,EV,4729,N880AS,100,85,58,15,0,SDF,ATL,321,31,11,0,,0,0,0,0,0,0
2003,3,17,1,2302,2145,3,2306,DL,1909,N522DA,61,81,45,57,77,ATL,SDF,321,6,10,0,,0,0,0,0,0,0
2006,1,8,7,1915,1915,2020,2020,WN,2081,N466,65,65,52,0,0,ABQ,TUS,321,3,10,0,,0,0,0,0,0,0
2007,4,25,3,1240,1245,1404,1404,YV,7231,N857MJ,84,79,54,0,-5,IAD,CLT,321,6,24,0,,0,0,0,0,0,0
1991,3,14,4,2043,2040,2151,2155,US,1631,,68,75,0,-4,3,DCA,CMH,322,0,0,0,,0,0,0,0,0,0
1994,9,21,3,1650,1650,1749,1805,HP,651,,59,75,0,-16,0,DCA,CMH,322,0,0,0,,0,0,0,0,0,0
1998,5,31,7,1949,1930,2049,2033,US,515,N262AU,60,63,51,16,19,CMH,DCA,322,5,4,0,,0,0,0,0,0,0
1996,5,1,3,840,840,841,845,WN,554,N316,61,65,53,-4,0,SDF,BHM,323,2,6,0,,0,0,0,0,0,0
2003,6,22,7,1813,1815,1837,1855,DH,7535,N672BR,84,100,58,-18,-2,LEX,ORD,323,3,23,0,,0,0,0,0,0,0
2003,11,14,5,1205,1205,1206,1210,WN,808,N363,61,65,51,-4,0,SDF,BHM,323,3,7,0,,0,0,0,0,0,0
1989,11,11,6,1115,1115,1213,1215,WN,25,,58,60,0,-2,0,AMA,DAL,324,0,0,0,,0,0,0,0,0,0
2000,4,21,5,824,810,923,915,WN,122,N81,59,65,50,8,14,DAL,AMA,324,2,7,0,,0,0,0,0,0,0
2007,1,29,1,1937,1940,2043,2054,NW,935,N8957E,66,74,50,-11,-3,MEM,GPT,324,5,11,0,,0,0,0,0,0,0
1990,9,21,5,2110,2020,2227,2131,HP,636,,77,71,0,56,50,PHX,ONT,325,0,0,0,,0,0,0,0,0,0
1990,10,13,6,1445,1445,1543,1553,UA,1573,,58,68,0,-10,0,OAK,BUR,325,0,0,0,,0,0,0,0,0,0
1992,3,17,2,1938,1938,1953,1953,HP,647,,75,75,0,0,0,PHX,ONT,325,0,0,0,,0,0,0,0,0,0
1992,5,29,5,855,855,1000,1000,WN,483,,65,65,0,0,0,PHX,ONT,325,0,0,0,,0,0,0,0,0,0
1993,2,3,3,930,930,1030,1030,WN,569,,60,60,0,0,0,OAK,BUR,325,0,0,0,,0,0,0,0,0,0
1993,5,12,3,730,730,832,835,WN,726,,62,65,0,-3,0,OAK,BUR,325,0,0,0,,0,0,0,0,0,0
1993,10,3,7,730,730,828,835,WN,901,,58,65,0,-7,0,PHX,ONT,325,0,0,0,,0,0,0,0,0,0
1993,11,9,2,830,830,830,840,WN,901,,60,70,0,-10,0,PHX,ONT,325,0,0,0,,0,0,0,0,0,0
1994,4,2,6,800,800,819,810,WN,1801,,79,70,0,9,0,PHX,ONT,325,0,0,0,,0,0,0,0,0,0
1994,9,18,7,850,850,955,955,WN,483,,65,65,0,0,0,PHX,ONT,325,0,0,0,,0,0,0,0,0,0
1995,1,20,5,827,830,930,935,UA,2103,N381UA,63,65,54,-5,-3,OAK,BUR,325,2,7,0,,0,0,0,0,0,0
1995,2,10,5,1635,1615,1733,1715,WN,1704,N335,58,60,49,18,20,OAK,BUR,325,2,7,0,,0,0,0,0,0,0
1995,4,14,5,1510,1500,1607,1600,WN,552,N63,57,60,45,7,10,PHX,ONT,325,2,10,0,,0,0,0,0,0,0
1995,10,16,1,1855,1855,2000,2000,WN,389,N311,65,65,50,0,0,ONT,PHX,325,3,12,0,,0,0,0,0,0,0
1998,5,28,4,2130,2055,2226,2155,WN,391,N705,56,60,45,31,35,ONT,PHX,325,3,8,0,,0,0,0,0,0,0
1998,6,13,6,1749,1700,1850,1805,WN,514,N701,61,65,49,45,49,ONT,PHX,325,2,10,0,,0,0,0,0,0,0
1998,9,20,7,1710,1700,1812,1805,WN,514,N508,62,65,49,7,10,ONT,PHX,325,4,9,0,,0,0,0,0,0,0
1999,5,8,6,1514,1505,1624,1610,WN,1200,N325,70,65,55,14,9,ONT,PHX,325,3,12,0,,0,0,0,0,0,0
2003,3,21,5,1008,1017,1145,1149,DH,7839,N331UE,97,92,87,-4,-9,ALB,IAD,325,3,7,0,,0,0,0,0,0,0
2003,9,21,7,1410,1410,1510,1510,WN,881,N742,60,60,51,0,0,OAK,BUR,325,1,8,0,,0,0,0,0,0,0
2003,12,14,7,1300,1225,1420,1335,WN,2286,N771,80,70,60,45,35,BUR,OAK,325,5,15,0,,0,0,0,0,0,0
2004,1,30,5,1100,1100,1105,1115,WN,2538,N360,65,75,50,-10,0,PHX,ONT,325,3,12,0,,0,0,0,0,0,0
2004,10,16,6,1555,1605,1738,1737,DH,1562,N624BR,103,92,66,1,-10,ALB,IAD,325,5,32,0,,0,0,0,0,0,0
2005,8,4,4,1353,1307,1605,1526,EV,4321,N908EV,72,79,54,39,46,HSV,CVG,325,6,12,0,,0,0,0,0,0,0
2005,12,19,1,545,545,807,750,WN,1852,N787,82,65,48,17,0,ONT,PHX,325,26,8,0,,0,0,0,0,0,0
2006,1,25,3,1545,1545,1650,1655,WN,2040,N774,65,70,50,-5,0,BUR,OAK,325,8,7,0,,0,0,0,0,0,0
2006,7,10,1,1523,1525,1623,1630,WN,485,N648SW,60,65,48,-7,-2,BUR,OAK,325,5,7,0,,0,0,0,0,0,0
2008,4,28,1,756,750,856,855,WN,2119,N228WN,60,65,49,1,6,OAK,BUR,325,3,8,0,,0,0,0,0,0,0
1988,10,4,2,1310,1245,1421,1400,AS,409,,71,75,0,21,25,BUR,SFO,326,0,0,0,,0,0,0,0,0,0
1988,11,3,4,1809,1810,1927,1926,UA,1135,,78,76,0,1,-1,BDL,IAD,326,0,0,0,,0,0,0,0,0,0
1991,6,20,4,1859,1900,2006,2016,UA,1196,,67,76,0,-10,-1,BUR,SFO,326,0,0,0,,0,0,0,0,0,0
1994,6,30,4,2013,2015,2117,2124,UA,1564,,64,69,0,-7,-2,BUR,SFO,326,0,0,0,,0,0,0,0,0,0
1994,11,6,7,1653,1444,1758,1550,UA,2133,,65,66,0,128,129,SFO,BUR,326,0,0,0,,0,0,0,0,0,0
1995,4,28,5,1157,1140,1254,1249,UA,2127,N940UA,57,69,45,5,17,SFO,BUR,326,2,10,0,,0,0,0,0,0,0
1999,7,28,3,1930,1859,2033,2006,UA,2225,N381UA,63,67,50,27,31,SFO,BUR,326,2,11,0,,0,0,0,0,0,0
2002,11,19,2,1235,1240,1338,1345,UA,707,N912UA,63,65,52,-7,-5,SFO,BUR,326,4,7,0,,0,0,0,0,0,0
1990,6,12,2,651,653,759,800,AA,774,,68,67,0,-1,-2,LIT,BNA,327,0,0,0,,0,0,0,0,0,0
1992,8,12,3,652,653,802,803,AA,1690,,70,70,0,-1,-1,JAN,BNA,327,0,0,0,,0,0,0,0,0,0
1992,9,5,6,651,653,811,803,AA,1690,,80,70,0,8,-2,JAN,BNA,327,0,0,0,,0,0,0,0,0,0
1989,1,10,2,850,850,957,950,WN,604,,67,60,0,7,0,ABQ,PHX,328,0,0,0,,0,0,0,0,0,0
1989,2,21,2,747,700,903,815,PI,1057,,76,75,0,48,47,PVD,BWI,328,0,0,0,,0,0,0,0,0,0
1990,4,22,7,1110,1110,1112,1115,WN,386,,62,65,0,-3,0,ABQ,PHX,328,0,0,0,,0,0,0,0,0,0
1992,5,1,5,1042,1040,1154,1147,US,297,,72,67,0,7,2,RDU,PIT,328,0,0,0,,0,0,0,0,0,0
1992,9,17,4,1807,1802,1808,1814,US,125,,61,72,0,-6,5,PIT,SBN,328,0,0,0,,0,0,0,0,0,0
1994,5,25,3,1828,1825,2031,2027,US,1156,,63,62,0,4,3,SBN,PIT,328,0,0,0,,0,0,0,0,0,0
1994,8,29,1,1040,1040,1236,1240,WN,393,,56,60,0,-4,0,PHX,ABQ,328,0,0,0,,0,0,0,0,0,0
1995,1,5,4,1745,1745,1855,1906,US,1069,N888AU,70,81,58,-11,0,RDU,PIT,328,5,7,0,,0,0,0,0,0,0
1995,5,27,6,700,700,903,900,WN,806,N83,63,60,44,3,0,PHX,ABQ,328,3,16,0,,0,0,0,0,0,0
1995,8,19,6,1225,1215,1227,1220,WN,866,N603,62,65,51,7,10,ABQ,PHX,328,4,7,0,,0,0,0,0,0,0
1996,5,4,6,1300,1300,1459,1507,US,545,N893US,59,67,49,-8,0,SBN,PIT,328,6,4,0,,0,0,0,0,0,0
1997,2,24,1,851,855,917,910,CO,531,N27509,86,75,54,7,-4,CLE,MKE,328,5,27,0,,0,0,0,0,0,0
1997,9,2,2,1600,1600,1602,1610,WN,1159,N626,62,70,53,-8,0,ABQ,PHX,328,4,5,0,,0,0,0,0,0,0
1998,1,26,1,1812,1805,1920,1915,WN,1229,N396,68,70,57,5,7,ABQ,PHX,328,3,8,0,,0,0,0,0,0,0
1998,2,6,5,2006,1950,2145,2050,WN,1202,N350,99,60,53,55,16,BWI,PVD,328,31,15,0,,0,0,0,0,0,0
1999,2,8,1,1815,1815,1939,1937,US,1009,N884US,84,82,65,2,0,RDU,PIT,328,8,11,0,,0,0,0,0,0,0
1999,10,19,2,2005,2005,2018,2015,WN,417,N358,73,70,57,3,0,ABQ,PHX,328,4,12,0,,0,0,0,0,0,0
1999,10,14,4,1107,1045,1209,1152,US,2702,N246US,62,67,50,17,22,BWI,PVD,328,3,9,0,,0,0,0,0,0,0
2000,1,3,1,813,810,908,915,WN,730,N628,55,65,45,-7,3,BWI,PVD,328,3,7,0,,0,0,0,0,0,0
2001,12,15,6,959,1001,1157,1148,MQ,3752,-N344M,118,107,98,9,-2,ICT,DFW,328,10,10,0,,0,0,0,0,0,0
2002,9,1,7,1747,1741,1801,1807,HP,639,N308AW,74,86,54,-6,6,ABQ,PHX,328,4,16,0,,0,0,0,0,0,0
2002,10,29,2,932,933,1050,1055,AA,1400,N2DDAA,78,82,50,-5,-1,DFW,ICT,328,5,23,0,,0,0,0,0,0,0
2004,9,3,5,540,540,647,659,EV,4322,N851AS,67,79,51,-12,0,ICT,DFW,328,8,8,0,,0,0,0,0,0,0
2005,1,23,7,2105,2105,2210,2210,WN,1528,N665WN,65,65,50,0,0,PHX,ABQ,328,5,10,0,,0,0,0,0,0,0
2006,6,5,1,1205,1206,1213,1230,US,625,N820AW,68,84,49,-17,-1,ABQ,PHX,328,4,15,0,,0,0,0,0,0,0
2008,8,22,5,2237,2145,2343,2300,WN,433,N697SW,66,75,53,43,52,PVD,BWI,328,4,9,0,,0,0,0,0,0,0
1990,11,18,7,2111,2110,2215,2229,US,439,,64,79,0,-14,1,CLT,JAX,329,0,0,0,,0,0,0,0,0,0
2008,3,30,7,653,700,819,821,US,1894,N110UW,86,81,54,-2,-7,JAX,CLT,329,24,8,0,,0,0,0,0,0,0
2008,7,3,4,910,900,1027,1021,US,814,N107US,77,81,56,6,10,JAX,CLT,329,4,17,0,,0,0,0,0,0,0
1987,11,6,5,1738,1740,1845,1850,PI,706,,67,70,0,-5,-2,BWI,ORH,330,0,0,0,,0,0,0,0,0,0
1988,6,24,5,1336,1335,1503,1444,US,236,,87,69,0,19,1,PIT,ORF,330,0,0,0,,0,0,0,0,0,0
1990,10,6,6,655,700,812,816,DL,1197,,77,76,0,-4,-5,GSO,CVG,330,0,0,0,,0,0,0,0,0,0
1991,10,31,4,1041,1040,1200,1152,US,81,,79,72,0,8,1,ORF,PIT,330,0,0,0,,0,0,0,0,0,0
1992,10,5,1,1158,1158,1300,1258,DL,323,,62,60,0,2,0,MGM,MLU,330,0,0,0,,0,0,0,0,0,0
1994,4,28,4,741,735,858,854,US,290,,77,79,0,4,6,ORF,PIT,330,0,0,0,,0,0,0,0,0,0
2002,8,30,5,1854,1855,2005,2010,DL,2025,N909DE,71,75,53,-5,-1,CVG,GSO,330,5,13,0,,0,0,0,0,0,0
1992,2,9,7,858,900,1012,1019,US,1435,,74,79,0,-7,-2,DCA,CLT,331,0,0,0,,0,0,0,0,0,0
2000,7,10,1,2112,2015,2228,2131,US,259,N506AU,76,76,51,57,57,DCA,CLT,331,8,17,0,,0,0,0,0,0,0
2008,9,26,5,2122,2125,2247,2243,EV,4513,N878AS,85,78,50,4,-3,ATL,FAY,331,6,29,0,,0,0,0,0,0,0
1993,8,25,3,959,957,1000,1002,DL,1929,,61,65,0,-2,2,ATL,MEM,332,0,0,0,,0,0,0,0,0,0
2000,1,10,1,800,800,820,815,DL,1779,N906DE,80,75,54,5,0,ATL,MEM,332,5,21,0,,0,0,0,0,0,0
2001,2,3,6,1048,1050,1108,1112,DL,1693,N513D1,80,82,53,-4,-2,ATL,MEM,332,8,19,0,,0,0,0,0,0,0
2002,12,8,7,1530,1535,1530,1554,NW,825,N922RW,60,79,50,-24,-5,ATL,MEM,332,3,7,0,,0,0,0,0,0,0
2006,5,9,2,1831,1831,1905,1849,EV,4713,N835AS,94,78,70,16,0,ATL,MEM,332,5,19,0,,0,0,0,0,0,0
2006,7,12,3,1726,1730,1934,1955,EV,4326,N877AS,68,85,56,-21,-4,MEM,ATL,332,1,11,0,,0,0,0,0,0,0
2007,9,17,1,915,920,1143,1142,NW,202,N780NC,88,82,54,1,-5,MEM,ATL,332,17,17,0,,0,0,0,0,0,0
2008,9,30,2,655,700,914,921,9E,2004,91879E,79,81,54,-7,-5,MEM,ATL,332,8,17,0,,0,0,0,0,0,0
1991,11,5,2,858,858,1009,1009,AA,505,,71,71,0,0,0,SJC,ONT,333,0,0,0,,0,0,0,0,0,0
1993,10,13,3,1452,1355,1455,1406,US,571,,63,71,0,49,57,CLT,HSV,333,0,0,0,,0,0,0,0,0,0
1998,3,5,4,1330,1325,1433,1430,WN,1275,N339,63,65,50,3,5,SJC,ONT,333,3,10,0,,0,0,0,0,0,0
2002,4,14,7,940,940,1036,1045,WN,1181,N351,56,65,50,-9,0,ONT,SJC,333,2,4,0,,0,0,0,0,0,0
1988,4,7,4,1250,1250,1406,1407,UA,465,,76,77,0,-1,0,ORD,MSP,334,0,0,0,,0,0,0,0,0,0
1988,6,6,1,1124,1125,1224,1235,AA,966,,60,70,0,-11,-1,MSP,ORD,334,0,0,0,,0,0,0,0,0,0
1988,11,5,6,1608,1600,1722,1706,PI,1431,,74,66,0,16,8,JAX,MIA,334,0,0,0,,0,0,0,0,0,0
1989,10,29,7,1200,1200,1318,1319,NW,130,,78,79,0,-1,0,MSP,ORD,334,0,0,0,,0,0,0,0,0,0
1990,1,17,3,1723,1700,1853,1836,NW,141,,90,96,0,17,23,ORD,MSP,334,0,0,0,,0,0,0,0,0,0
1991,6,9,7,1736,1730,1838,1900,UA,460,,62,90,0,-22,6,MSP,ORD,334,0,0,0,,0,0,0,0,0,0
1992,1,27,1,1747,1746,1922,1915,AA,204,,95,89,0,7,1,MSP,ORD,334,0,0,0,,0,0,0,0,0,0
1992,12,9,3,1253,1255,1415,1413,UA,69,,82,78,0,2,-2,ORD,MSP,334,0,0,0,,0,0,0,0,0,0
1995,5,23,2,716,715,834,837,AA,1408,N2BFAA,78,82,62,-3,1,ORD,MSP,334,4,12,0,,0,0,0,0,0,0
1995,7,21,5,1404,1400,1528,1509,UA,588,N9019U,84,69,51,19,4,MSP,ORD,334,13,20,0,,0,0,0,0,0,0
1995,11,24,5,757,800,858,918,NW,122,N786NC,61,78,48,-20,-3,MSP,ORD,334,5,8,0,,0,0,0,0,0,0
1996,4,22,1,1824,1815,1947,1940,AA,1273,N2AGAA,83,85,57,7,9,ORD,MSP,334,14,12,0,,0,0,0,0,0,0
2003,3,26,3,810,813,917,929,AA,1336,N2AHAA,67,76,51,-12,-3,MSP,ORD,334,6,10,0,,0,0,0,0,0,0
2004,7,17,6,652,700,808,814,NW,122,N763NC,76,74,56,-6,-8,MSP,ORD,334,4,16,0,,0,0,0,0,0,0
2005,9,29,4,1817,1800,1951,1925,NW,141,N338NW,94,85,70,26,17,ORD,MSP,334,4,20,0,,0,0,0,0,0,0
1988,10,20,4,1128,1120,1251,1238,US,129,,83,78,0,13,8,LGA,PIT,335,0,0,0,,0,0,0,0,0,0
1992,8,8,6,2024,2015,2138,2120,US,477,,74,65,0,18,9,PIT,SDF,335,0,0,0,,0,0,0,0,0,0
1994,12,14,3,1806,1745,1929,1913,US,177,,83,88,0,16,21,LGA,PIT,335,0,0,0,,0,0,0,0,0,0
1996,8,29,4,1810,1740,1926,1853,US,843,N955VJ,76,73,55,33,30,PIT,SDF,335,4,17,0,,0,0,0,0,0,0
1997,10,8,3,930,930,930,930,WN,1130,N368,60,60,53,0,0,BOI,RNO,335,2,5,0,,0,0,0,0,0,0
2005,1,5,3,1233,1230,1353,1351,OH,5224,N739CA,80,81,52,2,3,CVG,CLT,335,6,22,0,,0,0,0,0,0,0
2005,6,13,1,603,615,712,734,US,1453,N104UW,69,79,53,-22,-12,LGA,PIT,335,8,8,0,,0,0,0,0,0,0
2006,3,10,5,853,855,1058,1100,WN,1900,N368,65,65,51,-2,-2,RNO,BOI,335,2,12,0,,0,0,0,0,0,0
2006,11,16,4,936,930,1140,1049,US,1856,N501UW,124,79,90,51,6,PIT,LGA,335,7,27,0,,0,0,0,0,0,0
1990,4,24,2,2059,2055,2210,2207,US,322,,71,72,0,3,4,PHL,BTV,336,0,0,0,,0,0,0,0,0,0
1994,5,29,7,1313,1315,1416,1429,US,2134,,63,74,0,-13,-2,BWI,CMH,336,0,0,0,,0,0,0,0,0,0
1996,10,24,4,1509,1510,1624,1629,US,1475,N933VJ,75,79,58,-5,-1,BTV,PHL,336,7,10,0,,0,0,0,0,0,0
1998,8,31,1,1135,1140,1254,1300,US,1117,N891US,79,80,69,-6,-5,BTV,PHL,336,4,6,0,,0,0,0,0,0,0
2006,10,31,2,2135,2140,2242,2255,WN,1420,N625SW,67,75,58,-13,-5,BWI,CMH,336,3,6,0,,0,0,0,0,0,0
1987,11,25,3,634,630,753,740,PS,1440,,79,70,0,13,4,SFO,LAX,337,0,0,0,,0,0,0,0,0,0
1988,5,22,7,1015,1000,1121,1120,US,1923,,66,80,0,1,15,LAX,SFO,337,0,0,0,,0,0,0,0,0,0
1988,11,1,2,701,700,817,817,US,2908,,76,77,0,0,1,SFO,LAX,337,0,0,0,,0,0,0,0,0,0
1989,8,16,3,2059,2100,2237,2221,UA,1217,,98,81,0,16,-1,SFO,LAX,337,0,0,0,,0,0,0,0,0,0
1990,8,26,7,800,800,939,912,US,903,,99,72,0,27,0,OAK,LAX,337,0,0,0,,0,0,0,0,0,0
1991,3,1,5,1825,1730,2007,1852,UA,1720,,102,82,0,75,55,LAX,SFO,337,0,0,0,,0,0,0,0,0,0
1992,12,27,7,1646,1630,1815,1751,UA,1721,,89,81,0,24,16,SFO,LAX,337,0,0,0,,0,0,0,0,0,0
1993,3,14,7,1955,1955,2107,2110,DL,607,,72,75,0,-3,0,SFO,LAX,337,0,0,0,,0,0,0,0,0,0
1993,6,26,6,2100,2100,2233,2223,UA,889,,93,83,0,10,0,SFO,LAX,337,0,0,0,,0,0,0,0,0,0
1993,9,29,3,1359,1400,1516,1524,UA,1117,,77,84,0,-8,-1,SFO,LAX,337,0,0,0,,0,0,0,0,0,0
1994,2,24,4,1058,1100,1207,1216,US,1921,,69,76,0,-9,-2,LAX,SFO,337,0,0,0,,0,0,0,0,0,0
1994,4,29,5,815,815,924,925,WN,530,,69,70,0,-1,0,LAX,OAK,337,0,0,0,,0,0,0,0,0,0
1994,5,10,2,1759,1800,1907,1911,US,415,,68,71,0,-4,-1,LAX,SFO,337,0,0,0,,0,0,0,0,0,0
1994,11,4,5,28,2350,141,100,DL,295,,73,70,0,41,38,LAX,SFO,337,0,0,0,,0,0,0,0,0,0
1995,4,2,7,2008,2005,2124,2127,UA,2073,N364UA,76,82,52,-3,3,SFO,LAX,337,16,8,0,,0,0,0,0,0,0
1995,11,18,6,1315,1230,1435,1340,WN,1692,N503,80,70,53,55,45,LAX,OAK,337,4,23,0,,0,0,0,0,0,0
1996,4,29,1,1221,1217,1332,1345,UA,2398,N913UA,71,88,52,-13,4,LAX,SFO,337,3,16,0,,0,0,0,0,0,0
1996,8,31,6,720,720,825,837,UA,2007,N927UA,65,77,51,-12,0,SFO,LAX,337,5,9,0,,0,0,0,0,0,0
1996,9,23,1,1433,1432,1537,1549,UA,2046,N303UA,64,77,49,-12,1,LAX,SFO,337,2,13,0,,0,0,0,0,0,0
1997,5,28,3,1302,1245,1430,1403,UA,2037,N376UA,88,78,52,27,17,SFO,LAX,337,13,23,0,,0,0,0,0,0,0
1997,7,7,1,812,810,939,930,UA,2015,N385UA,87,80,63,9,2,SFO,LAX,337,10,14,0,,0,0,0,0,0,0
1998,4,23,4,1800,1730,1924,1840,WN,840,N378,84,70,58,44,30,OAK,LAX,337,9,17,0,,0,0,0,0,0,0
1998,6,6,6,800,800,915,921,UA,2011,N358UA,75,81,55,-6,0,SFO,LAX,337,6,14,0,,0,0,0,0,0,0
1998,7,25,6,1938,1945,2051,2101,DL,1810,N647DL,73,76,53,-10,-7,LAX,SFO,337,5,15,0,,0,0,0,0,0,0
1999,4,1,4,2014,2015,2139,2137,UA,2072,N909UA,85,82,59,2,-1,LAX,SFO,337,3,23,0,,0,0,0,0,0,0
1999,4,21,3,558,600,720,718,DL,808,N641DL,82,78,54,2,-2,SFO,LAX,337,17,11,0,,0,0,0,0,0,0
1999,8,25,3,611,615,719,729,UA,2004,N392UA,68,74,52,-10,-4,LAX,SFO,337,3,13,0,,0,0,0,0,0,0
2000,7,1,6,627,630,731,735,WN,1070,N323,64,65,52,-4,-3,LAX,OAK,337,5,7,0,,0,0,0,0,0,0
2002,3,14,4,1535,1530,1645,1640,WN,827,N745,70,70,62,5,5,LAX,OAK,337,3,5,0,,0,0,0,0,0,0
2002,6,27,4,630,600,750,715,WN,1002,N719,80,75,59,35,30,OAK,LAX,337,5,16,0,,0,0,0,0,0,0
2003,3,31,1,700,705,820,823,UA,596,N840UA,80,78,54,-3,-5,LAX,OAK,337,5,21,0,,0,0,0,0,0,0
2003,5,13,2,1114,1120,1226,1246,UA,1415,N931UA,72,86,54,-20,-6,SFO,LAX,337,2,16,0,,0,0,0,0,0,0
2003,8,25,1,700,700,810,820,WN,535,N669,70,80,59,-10,0,OAK,LAX,337,4,7,0,,0,0,0,0,0,0
2006,3,19,7,2145,2100,2255,2215,WN,1660,N740,70,75,60,40,45,LAX,OAK,337,5,5,0,,0,0,0,0,0,0
2006,8,8,2,1514,1520,1623,1636,UA,849,N921UA,69,76,55,-13,-6,LAX,SFO,337,2,12,0,,0,0,0,0,0,0
2006,9,9,6,848,850,1020,1015,OO,6525,N960SW,92,85,61,5,-2,OAK,LAX,337,10,21,0,,0,0,0,0,0,0
2007,8,4,6,809,820,1002,950,XE,7754,N14173,113,90,60,12,-11,SFO,LAX,337,19,34,0,,0,0,0,0,0,0
2007,10,16,2,1359,1400,1508,1515,WN,2090,N427WN,69,75,46,-7,-1,OAK,LAX,337,9,14,0,,0,0,0,0,0,0
1990,12,20,4,1927,1901,1951,1915,HP,656,,84,74,0,36,26,PHX,SNA,338,0,0,0,,0,0,0,0,0,0
1994,8,17,3,1733,1723,1754,1738,TW,505,,81,75,0,16,10,DAY,STL,338,0,0,0,,0,0,0,0,0,0
1999,8,28,6,715,715,835,826,HP,2486,N327AW,80,71,55,9,0,SNA,PHX,338,9,16,0,,0,0,0,0,0,0
2000,5,10,3,1850,1820,2005,1931,HP,519,N172AW,75,71,56,34,30,SNA,PHX,338,4,15,0,,0,0,0,0,0,0
2007,1,9,2,1643,1645,1845,1855,WN,212,N610SW,62,70,52,-10,-2,SNA,PHX,338,3,7,0,,0,0,0,0,0,0
2008,4,21,1,829,820,837,835,WN,136,N675AA,68,75,54,2,9,CMH,BNA,338,4,10,0,,0,0,0,0,0,0
2008,4,25,5,1026,1030,1143,1159,US,654,N659AW,77,89,52,-16,-4,PHX,SNA,338,7,18,0,,0,0,0,0,0,0
1989,9,12,2,2245,2245,2359,19,PA (1),569,,74,94,0,-20,0,JFK,PIT,340,0,0,0,,0,0,0,0,0,0
1991,5,2,4,1653,1651,1707,1705,DL,1877,,74,74,0,2,2,ATL,JAN,341,0,0,0,,0,0,0,0,0,0
1997,8,11,1,639,640,857,901,DL,862,N625DL,78,81,57,-4,-1,JAN,ATL,341,9,12,0,,0,0,0,0,0,0
2000,6,19,1,1100,1100,1157,1200,WN,2233,N629,57,60,49,-3,0,LBB,AUS,341,3,5,0,,0,0,0,0,0,0
2004,5,27,4,1831,1827,2049,2046,DL,894,N910DE,78,79,57,3,4,JAN,ATL,341,11,10,0,,0,0,0,0,0,0
2006,4,26,3,1755,1735,1905,1840,WN,1756,N209,70,65,55,25,20,AUS,LBB,341,5,10,0,,0,0,0,0,0,0
1994,3,27,7,1951,1950,2157,2158,NW,830,,66,68,0,-1,1,MEM,TYS,342,0,0,0,,0,0,0,0,0,0
1998,8,9,7,1110,1110,1220,1220,WN,940,N528,70,70,56,0,0,SNA,SJC,342,2,12,0,,0,0,0,0,0,0
1999,6,2,3,1244,1235,1350,1345,WN,589,N694,66,70,56,5,9,OMA,STL,342,4,6,0,,0,0,0,0,0,0
2000,1,12,3,2025,2025,2130,2135,WN,976,N522,65,70,52,-5,0,SNA,SJC,342,3,10,0,,0,0,0,0,0,0
2003,6,20,5,1559,1600,1708,1715,EV,4363,N872AS,69,75,51,-7,-1,HTS,ATL,342,7,11,0,,0,0,0,0,0,0
2005,2,3,4,1748,1753,1900,1906,MQ,3174,N808AE,72,73,60,-6,-5,SNA,SJC,342,4,8,0,,0,0,0,0,0,0
2005,4,19,2,735,735,840,850,WN,1535,N463,65,75,55,-10,0,SJC,SNA,342,3,7,0,,0,0,0,0,0,0
2006,1,23,1,605,605,735,730,OH,4941,N484CA,90,85,77,5,0,CHO,CVG,342,3,10,0,,0,0,0,0,0,0
2007,1,17,3,1139,1135,1246,1250,WN,2037,N784,67,75,58,-4,4,SNA,SJC,342,3,6,0,,0,0,0,0,0,0
2007,12,13,4,1625,1630,1745,1745,AA,311,N574AA,80,75,61,0,-5,SNA,SJC,342,3,16,0,,0,0,0,0,0,0
2008,12,21,7,1933,1915,2049,2030,WN,1340,N238WN,76,75,65,19,18,SNA,SJC,342,5,6,0,,0,0,0,0,0,0
1993,6,6,7,1317,1315,1431,1423,US,337,,74,68,0,8,2,ROC,BOS,343,0,0,0,,0,0,0,0,0,0
1988,12,20,2,1905,1905,2003,2010,HP,53,,58,65,0,-7,0,RNO,LAS,345,0,0,0,,0,0,0,0,0,0
1992,1,22,3,1020,1020,1120,1126,HP,481,,60,66,0,-6,0,RNO,LAS,345,0,0,0,,0,0,0,0,0,0
